label,atlas
2,left cerebral white matter
3,left cerebral cortex
4,left lateral ventricle
5,left inferior lateral ventricle
7,left cerebellum white matter
8,left cerebellum cortex
10,left thalamus
11,left caudate
12,left putamen
13,left pallidum
14,third ventricle
15,fourth ventricle
16,brainstem
17,left hippocampus
18,left amygdala
24,CSF
25,left lesion
26,left accumbens
28,left ventral DC
41,right cerebral white matter
42,right cerebral cortex
43,right lateral ventricle
44,right inferior lateral ventricle
46,right cerebellum white matter
47,right cerebellum cortex
49,right thalamus
50,right caudate
51,right putamen
52,right pallidum
53,right hippocampus
54,right amygdala
57,right lesion
58,right accumbens
60,right ventral DC
1001,left bankssts
1002,left caudal anterior cingulate
1003,left caudal middle frontal
1004,left corpus callosum
1005,left cuneus
1006,left entorhinal
1007,left fusiform
1008,left inferior parietal
1009,left inferior temporal
1010,left isthmus cingulate
1011,left lateral occipital
1012,left lateral orbitofrontal
1013,left lingual           
1014,left medial orbitofrontal
1015,left middle temporal
1016,left parahippocampal
1017,left paracentral
1018,left parsopercularis
1019,left parsorbitalis
1020,left parstriangularis
1021,left pericalcarine
1022,left postcentral
1023,left posterior cingulate
1024,left precentral
1025,left precuneus
1026,left rostral anterior cingulate
1027,left rostral middle frontal
1028,left superior frontal
1029,left superior parietal
1030,left superior temporal
1031,left supramarginal
1032,left frontalpole
1033,left temporalpole
1034,left transverse temporal
1035,left insula
2001,right bankssts
2002,right caudal anterior cingulate
2003,right caudal middle frontal
2004,right corpus callosum
2005,right cuneus
2006,right entorhinal
2007,right fusiform
2008,right inferior parietal
2009,right inferior temporal
2010,right isthmus cingulate
2011,right lateral occipital
2012,right lateral orbitofrontal
2013,right lingual           
2014,right medial orbitofrontal
2015,right middle temporal
2016,right parahippocampal
2017,right paracentral
2018,right parsopercularis
2019,right parsorbitalis
2020,right parstriangularis
2021,right pericalcarine
2022,right postcentral
2023,right posterior cingulate
2024,right precentral
2025,right precuneus
2026,right rostral anterior cingulate
2027,right rostral middle frontal
2028,right superior frontal
2029,right superior parietal
2030,right superior temporal
2031,right supramarginal
2032,right frontalpole
2033,right temporalpole
2034,right transverse temporal
2035,right insula
3001,ventricular septum
3002,left choroid plexus
3003,right choroid plexus
3004,left choroid plexus calcification
3005,right choroid plexus calcification
4001,midbrain
4002,pons
4003,medulla
